"id","fqdn/ip","port","severity","finding","cve","cwe"
"intermediate_cert <#2>","www.bimcloud.fr/54.37.80.118","443","INFO","-----BEGIN CERTIFICATE-----\nMIIFYDCCBEigAwIBAgIQQAF3ITfU6UK47naqPGQKtzANBgkqhkiG9w0BAQsFADA/MSQwIgYDVQQKExtEaWdpdGFsIFNpZ25hdHVyZSBUcnVzdCBDby4xFzAVBgNVBAMTDkRTVCBSb290IENBIFgzMB4XDTIxMDEyMDE5MTQwM1oXDTI0MDkzMDE4MTQwM1owTzELMAkGA1UEBhMCVVMxKTAnBgNVBAoTIEludGVybmV0IFNlY3VyaXR5IFJlc2VhcmNoIEdyb3VwMRUwEwYDVQQDEwxJU1JHIFJvb3QgWDEwggIiMA0GCSqGSIb3DQEBAQUAA4ICDwAwggIKAoICAQCt6CRz9BQ385ueK1coHIe+3LffOJCMbjzmV6B493XCov71am72AE8o295ohmxEk7axY/0UEmu/H9LqMZshftEzPLpI9d1537O4/xLxIZpLwYqGcWlKZmZsj348cL+tKSIG8+TA5oCu4kuPt5l+lAOf00eXfJlII1PoOK5PCm+DLtFJV4yAdLbaL9A4jXsDcCEbdfIwPPqPrt3aY6vrFk/CjhFLfs8L6P+1dy70sntK4EwSJQxwjQMpoOFTJOwT2e4ZvxCzSow/iaNhUd6shweU9GNx7C7ib1uYgeGJXDR5bHbvO5BieebbpJovJsXQEOEO3tkQjhb7t/eo98flAgeYjzYIlefiN5YNNnWe+w5ysR2bvAP5SQXYgd0FtCrWQemsAXaVCg/Y39W9Eh81LygXbNKYwagJZHduRze6zqxZXmidf3LWicUGQSk+WT7dJvUkyRGnWqNMQB9GoZm1pzpRboY7nn1ypxIFeFntPlF4FQsDj43QLwWyPntKHEtzBRL8xurgUBN8Q5N0s8p0544fAQjQMNRbcTa0B7rBMDBcSLeCO5imfWCKoqMpgsy6vYMEG6KDA0Gh1gXxG8K28Kh8hjtGqEgqiNx2mna/H2qlPRmP6zjzZN7IKw0KKP/32+IVQtQi0Cdd4Xn+GOdwiK1O5tmLOsbdJ1Fu/7xk9TNDTwIDAQABo4IBRjCCAUIwDwYDVR0TAQH/BAUwAwEB/zAOBgNVHQ8BAf8EBAMCAQYwSwYIKwYBBQUHAQEEPzA9MDsGCCsGAQUFBzAChi9odHRwOi8vYXBwcy5pZGVudHJ1c3QuY29tL3Jvb3RzL2RzdHJvb3RjYXgzLnA3YzAfBgNVHSMEGDAWgBTEp7Gkeyxx+tvhS5B1/8QVYIWJEDBUBgNVHSAETTBLMAgGBmeBDAECATA/BgsrBgEEAYLfEwEBATAwMC4GCCsGAQUFBwIBFiJodHRwOi8vY3BzLnJvb3QteDEubGV0c2VuY3J5cHQub3JnMDwGA1UdHwQ1MDMwMaAvoC2GK2h0dHA6Ly9jcmwuaWRlbnRydXN0LmNvbS9EU1RST09UQ0FYM0NSTC5jcmwwHQYDVR0OBBYEFHm0WeZ7tuXkAXOACIjIGlj26ZtuMA0GCSqGSIb3DQEBCwUAA4IBAQAKcwBslm7/DlLQrt2M51oGrS+o44+/yQoDFVDC5WxCu2+b9LRPwkSICHXM6webFGJueN7sJ7o5XPWioW5WlHAQU7G75K/QosMrAdSW9MUgNTP52GE24HGNtLi1qoJFlcDyqSMo59ahy2cI2qBDLKobkx/J3vWraV0T9VuGWCLKTVXkcGdtwlfFRjlBz4pYg1htmf5X6DYO8A4jqv2Il9DjXA6USbW1FzXSLr9Ohe8Y4IWS6wY7bCkjCWDcRQJMEhg76fsO3txE+FiYruq9RUWhiF1myv4Q6W+CyBFCDfvp7OOGAN6dEOM4+qR9sdjoSYKEBpsr6GtPAQw4dy753ec5\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#2>","www.bimcloud.fr/54.37.80.118","443","INFO","6D99FB265EB1C5B3744765FCBC648F3CD8E1BFFAFDC4C2F99B9D47CF7FF1C24F","",""
"intermediate_cert_notBefore <#2>","www.bimcloud.fr/54.37.80.118","443","INFO","2021-01-20 19:14","",""
"intermediate_cert_notAfter <#2>","www.bimcloud.fr/54.37.80.118","443","OK","2024-09-30 18:14","",""
"intermediate_cert_expiration <#2>","www.bimcloud.fr/54.37.80.118","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#2>","www.bimcloud.fr/54.37.80.118","443","INFO","ISRG Root X1 <-- DST Root CA X3","",""
"intermediate_cert_badOCSP","www.bimcloud.fr/54.37.80.118","443","OK","intermediate certificate(s) is/are ok","",""
"HTTP_status_code","www.bimcloud.fr/54.37.80.118","443","INFO","200 OK ('/')","",""
"HTTP_clock_skew","www.bimcloud.fr/54.37.80.118","443","INFO","0 seconds from localtime","",""
"HTTP_headerTime","www.bimcloud.fr/54.37.80.118","443","INFO","1701565274","",""
"HSTS","www.bimcloud.fr/54.37.80.118","443","LOW","not offered","",""
"HPKP","www.bimcloud.fr/54.37.80.118","443","INFO","No support for HTTP Public Key Pinning","",""
"banner_server","www.bimcloud.fr/54.37.80.118","443","INFO","nginx","",""
"banner_application","www.bimcloud.fr/54.37.80.118","443","INFO","No application banner found","",""
"cookie_count","www.bimcloud.fr/54.37.80.118","443","INFO","0 at '/'","",""
"Cache-Control_multiple","www.bimcloud.fr/54.37.80.118","443","MEDIUM","Multiple Cache-Control headers. Using first header: no-cache","",""
"Cache-Control","www.bimcloud.fr/54.37.80.118","443","INFO","no-cache","",""
"banner_reverseproxy","www.bimcloud.fr/54.37.80.118","443","INFO","--","","CWE-200"
"heartbleed","www.bimcloud.fr/54.37.80.118","443","OK","not vulnerable, no heartbeat extension","CVE-2014-0160","CWE-119"
"CCS","www.bimcloud.fr/54.37.80.118","443","OK","not vulnerable","CVE-2014-0224","CWE-310"
"ticketbleed","www.bimcloud.fr/54.37.80.118","443","OK","not vulnerable","CVE-2016-9244","CWE-200"
"ROBOT","www.bimcloud.fr/54.37.80.118","443","OK","not vulnerable","CVE-2017-17382 CVE-2017-17427 CVE-2017-17428 CVE-2017-13098 CVE-2017-1000385 CVE-2017-13099 CVE-2016-6883 CVE-2012-5081 CVE-2017-6168","CWE-203"
"secure_renego","www.bimcloud.fr/54.37.80.118","443","OK","supported","","CWE-310"
"secure_client_renego","www.bimcloud.fr/54.37.80.118","443","OK","not vulnerable","CVE-2011-1473","CWE-310"
"CRIME_TLS","www.bimcloud.fr/54.37.80.118","443","OK","not vulnerable","CVE-2012-4929","CWE-310"
"BREACH","www.bimcloud.fr/54.37.80.118","443","MEDIUM","potentially VULNERABLE, gzip HTTP compression detected  - only supplied '/' tested","CVE-2013-3587","CWE-310"
"POODLE_SSL","www.bimcloud.fr/54.37.80.118","443","OK","not vulnerable, no SSLv3","CVE-2014-3566","CWE-310"
"fallback_SCSV","www.bimcloud.fr/54.37.80.118","443","OK","no protocol below TLS 1.2 offered","",""
"SWEET32","www.bimcloud.fr/54.37.80.118","443","OK","not vulnerable","CVE-2016-2183 CVE-2016-6329","CWE-327"
"FREAK","www.bimcloud.fr/54.37.80.118","443","OK","not vulnerable","CVE-2015-0204","CWE-310"
"DROWN","www.bimcloud.fr/54.37.80.118","443","OK","not vulnerable on this host and port","CVE-2016-0800 CVE-2016-0703","CWE-310"
"DROWN_hint","www.bimcloud.fr/54.37.80.118","443","INFO","Make sure you don't use this certificate elsewhere with SSLv2 enabled services, see https://search.censys.io/search?resource=hosts&virtual_hosts=INCLUDE&q=073E1D40E1328CFACF58FF50AD7930D05102BC13B217138D42E471FFAF95706A","CVE-2016-0800 CVE-2016-0703","CWE-310"
"LOGJAM","www.bimcloud.fr/54.37.80.118","443","OK","not vulnerable, no DH EXPORT ciphers,","CVE-2015-4000","CWE-310"
"LOGJAM-common_primes","www.bimcloud.fr/54.37.80.118","443","OK","no DH key with <= TLS 1.2","CVE-2015-4000","CWE-310"
"BEAST","www.bimcloud.fr/54.37.80.118","443","OK","not vulnerable, no SSL3 or TLS1","CVE-2011-3389","CWE-20"
"LUCKY13","www.bimcloud.fr/54.37.80.118","443","LOW","potentially vulnerable, uses TLS CBC ciphers","CVE-2013-0169","CWE-310"
"winshock","www.bimcloud.fr/54.37.80.118","443","OK","not vulnerable","CVE-2014-6321","CWE-94"
"RC4","www.bimcloud.fr/54.37.80.118","443","OK","not vulnerable","CVE-2013-2566 CVE-2015-2808","CWE-310"
"clientsimulation-android_60","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_70","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_81","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-android_90","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-android_X","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-android_11","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-android_12","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-chrome_79_win10","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-chrome_101_win10","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-firefox_66_win81","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-firefox_100_win10","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-ie_6_xp","www.bimcloud.fr/54.37.80.118","443","INFO","No connection","",""
"clientsimulation-ie_8_win7","www.bimcloud.fr/54.37.80.118","443","INFO","No connection","",""
"clientsimulation-ie_8_xp","www.bimcloud.fr/54.37.80.118","443","INFO","No connection","",""
"clientsimulation-ie_11_win7","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-ie_11_win81","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-ie_11_winphone81","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.2 ECDHE-RSA-AES128-SHA","",""
"clientsimulation-ie_11_win10","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_15_win10","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-edge_101_win10_21h2","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-safari_121_ios_122","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.3 TLS_CHACHA20_POLY1305_SHA256","",""
"clientsimulation-safari_130_osx_10146","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.3 TLS_CHACHA20_POLY1305_SHA256","",""
"clientsimulation-safari_154_osx_1231","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-java_7u25","www.bimcloud.fr/54.37.80.118","443","INFO","No connection","",""
"clientsimulation-java_8u161","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-java1102","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-java1703","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-go_1178","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-libressl_283","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.2 ECDHE-RSA-CHACHA20-POLY1305","",""
"clientsimulation-openssl_102e","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_110l","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-openssl_111d","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-openssl_303","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"clientsimulation-apple_mail_16_0","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.2 ECDHE-RSA-AES128-GCM-SHA256","",""
"clientsimulation-thunderbird_91_9","www.bimcloud.fr/54.37.80.118","443","INFO","TLSv1.3 TLS_AES_128_GCM_SHA256","",""
"rating_spec","www.bimcloud.fr/54.37.80.118","443","INFO","SSL Labs's 'SSL Server Rating Guide' (version 2009q from 2020-01-30)","",""
"rating_doc","www.bimcloud.fr/54.37.80.118","443","INFO","https://github.com/ssllabs/research/wiki/SSL-Server-Rating-Guide","",""
"protocol_support_score","www.bimcloud.fr/54.37.80.118","443","INFO","100","",""
"protocol_support_score_weighted","www.bimcloud.fr/54.37.80.118","443","INFO","30","",""
"key_exchange_score","www.bimcloud.fr/54.37.80.118","443","INFO","100","",""
"key_exchange_score_weighted","www.bimcloud.fr/54.37.80.118","443","INFO","30","",""
"cipher_strength_score","www.bimcloud.fr/54.37.80.118","443","INFO","60","",""
"cipher_strength_score_weighted","www.bimcloud.fr/54.37.80.118","443","INFO","24","",""
"final_score","www.bimcloud.fr/54.37.80.118","443","INFO","84","",""
"overall_grade","www.bimcloud.fr/54.37.80.118","443","OK","A","",""
"grade_cap_reason_1","www.bimcloud.fr/54.37.80.118","443","INFO","Grade capped to A. HSTS is not offered","",""
